accel_x, accel_y, accel_z, gyros_x, gyros_y, gyros_z
0.979, 0.075, 0.086, -25.574, 1.099, -15.564
0.961, -0.037, 0.065, -12.329, 3.357, -12.390
0.981, -0.091, 0.080, -8.484, 8.545, 2.991
0.981, -0.022, 0.063, -20.691, 1.831, 4.089
0.952, -0.007, 0.050, -6.592, 0.671, -0.427
0.976, -0.003, 0.022, -10.742, 1.770, 6.104
0.870, 0.146, -0.124, -23.743, 0.427, 8.789
0.934, 0.194, -0.067, -33.020, 1.221, 12.817
0.966, 0.218, -0.073, -37.781, 5.981, 3.113
0.942, 0.268, -0.073, -90.698, -9.460, -5.615
1.169, 0.273, -0.047, -66.345, 18.860, -3.784
0.907, -0.093, -0.199, -45.715, -2.808, -7.996
0.971, -0.071, -0.125, -56.274, -10.254, -0.183
0.969, -0.052, -0.116, -63.965, -0.732, 6.836
0.967, -0.068, -0.077, -65.002, -1.221, 2.747
1.014, -0.062, -0.068, -31.799, -1.038, 10.315
0.995, -0.066, -0.030, 2.258, -12.207, 9.705
0.966, 0.044, -0.071, -16.113, -5.615, 6.531
0.896, 0.112, -0.120, -46.570, 12.268, 0.549
0.929, 0.142, -0.109, -24.658, 6.775, 2.747
0.948, 0.104, -0.135, -18.799, -1.770, -4.150
0.990, 0.066, -0.135, -46.753, -14.526, -14.160
0.907, -0.027, -0.079, -67.078, 4.211, -8.850
1.023, -0.094, -0.030, -36.743, 4.761, -8.789
0.966, -0.121, -0.027, 50.232, 1.709, -3.296
0.951, -0.071, -0.066, 117.798, 3.357, 6.653
1.086, 0.206, -0.214, 154.236, 7.507, 5.432
0.871, 0.236, -0.133, 111.145, 14.343, -0.732
0.903, 0.242, -0.150, 91.125, 19.653, -14.465
0.984, 0.111, -0.173, 55.420, 1.404, -26.062
0.976, 0.043, -0.121, 22.461, -6.348, -4.395
1.035, -0.033, -0.155, 51.636, 5.249, 0.854
0.973, -0.012, -0.093, 51.208, 7.507, -7.568
